name,count
country,48
chill,31
workout,18
rock,18
christmas,16
rap,16
oldies,15
worship,13
party,13
disney,12
new,11
feels,10
summer,9
lit,8
dance,8
relax,7
sleep,7
throwback,7
pregame,7
random,7
throwbacks,6
2017,6
music,6
running,6
study,6
good music,6
wedding,5
90's,5
hits,5
gospel,5
jams,5
pop,5
fall,5
love,5
shower,5
classics,5
mine,5
mix,5
spanish,5
electronic,5
oldies but goodies,5
classic,5
sad,5
car,5
now,5
work,5
current,5
old,5
summer 2016,5
run,4
gym,4
musicals,4
reggae,4
summer 2k17,4
fun,4
trap,4
good stuff,4
old school,4
classical,4
vibes,4
vibin,4
stuff,4
house,4
feel good,4
alt,4
mood,4
road trip,4
camp,4
bump,4
playlist,4
alternative,4
christian,4
snowboarding,4
90s,3
vibe,3
mixtape,3
groovy,3
acoustic,3
morning,3
good vibes,3
funky,3
favorite songs,3
hype,3
spanish jams,3
2016,3
fall 2015,3
go to,3
blues,3
september,3
summer playlist,3
my music,3
party playlist,3
everything,3
old songs,3
tbt,3
indie,3
<3,3
chill music,3
classic rock,3
happy,3
rave,3
roadtrip,3
car rides,3
new years,3
chill out,3
my heart,3
punk,3
reggaeton,3
country favorites,3
eminem,3
new music,3
vibin',3
may,3
dubstep,3
for you,3
yoga,3
summer country,3
best,3
yeah,3
the mix,3
hawaii,3
inspiration,3
beats,3
wedding playlist,3
work out,3
getting ready,3
mmm,3
korean,2
new songs,2
sad songs,2
smooth,2
yeet,2
indie rock,2
tb,2
taylor swift,2
ashley,2
kpop,2
80's,2
bang bang,2
latin,2
rando,2
party people,2
beach,2
halloween,2
14,2
relaxing,2
get it,2
ladies,2
top hits,2
english,2
pump,2
high,2
mellow,2
christian songs,2
🔥🔥🔥🔥,2
christmas music,2
latino,2
volleyball,2
summer of love,2
corridos,2
chris,2
broadway,2
car playlist,2
covers,2
bruno mars,2
litty,2
quiet,2
in my feels,2
piano music,2
driving,2
my favorites,2
new stuff,2
hip hop,2
mix tape,2
hood,2
wedding cocktail hour,2
whatever,2
winter,2
older songs,2
black,2
chillen,2
party mix,2
wake up,2
main playlist,2
2015,2
bomb,2
up,2
songs i like,2
summer 17,2
wedding songs,2
take me back,2
musica,2
christmas time,2
partay,2
drake,2
my favorite songs,2
